order_id,customer_id,product_id,category,channel,quantity,unit_price,discount_pct,status,order_date,region,customer_age,is_new_customer,gross_revenue,discount_amount,net_revenue,year,month,quarter,week,day_of_week,is_revenue_positive
ORD-000001,CUST-1120,PROD-0083,Deportes,web,7,4788.12,10.0,completed,2023-04-25,MTY,69,True,33516.84,3351.6839999999997,30165.155999999995,2023,4,2,17,Tuesday,True
ORD-000002,CUST-1072,PROD-0168,Alimentos,marketplace,4,4456.18,15.0,cancelled,2023-01-26,MTY,19,False,17824.72,2673.7080000000005,15151.012,2023,1,1,4,Thursday,False
ORD-000003,CUST-0530,PROD-0197,Belleza,social,8,3278.76,0.0,returned,2023-10-09,PUE,22,False,26230.08,0.0,26230.08,2023,10,4,41,Monday,False
ORD-000004,CUST-1124,PROD-0144,Electronica,social,5,2325.24,25.0,returned,2023-09-08,MTY,26,False,11626.199999999999,2906.55,8719.649999999998,2023,9,3,36,Friday,False
ORD-000005,CUST-0990,PROD-0113,Libros,web,7,3395.02,0.0,cancelled,2023-08-17,PUE,37,False,23765.14,0.0,23765.14,2023,8,3,33,Thursday,False
ORD-000006,CUST-1276,PROD-0132,Electronica,marketplace,3,3112.12,10.0,completed,2023-05-23,GDL,63,False,9336.36,933.6360000000001,8402.724,2023,5,2,21,Tuesday,True
ORD-000007,CUST-1495,PROD-0244,Alimentos,marketplace,7,2864.33,5.0,completed,2023-04-15,QRO,35,False,20050.309999999998,1002.5154999999999,19047.794499999996,2023,4,2,15,Saturday,True
ORD-000008,CUST-0290,PROD-0064,Hogar,marketplace,8,342.93,5.0,cancelled,2023-03-31,QRO,39,False,2743.44,137.172,2606.268,2023,3,1,13,Friday,False
ORD-000009,CUST-1424,PROD-0070,Deportes,social,5,3182.37,5.0,returned,2024-03-08,CUN,25,False,15911.849999999999,795.5925,15116.257499999998,2024,3,1,10,Friday,False
ORD-000010,CUST-1432,PROD-0274,Ropa,social,4,3856.15,0.0,completed,2023-02-02,QRO,51,False,15424.6,0.0,15424.6,2023,2,1,5,Thursday,True
ORD-000011,CUST-1369,PROD-0252,Ropa,marketplace,8,4970.7,10.0,pending,2023-01-31,PUE,26,False,39765.6,3976.56,35789.04,2023,1,1,5,Tuesday,False
ORD-000012,CUST-0038,PROD-0047,Ropa,social,8,104.84,10.0,pending,2023-04-06,CDMX,24,False,838.72,83.87200000000001,754.848,2023,4,2,14,Thursday,False
ORD-000013,CUST-0772,PROD-0171,Hogar,marketplace,3,3664.36,0.0,pending,2023-08-12,CDMX,47,True,10993.08,0.0,10993.08,2023,8,3,32,Saturday,False
