order_id,customer_id,product_id,category,channel,quantity,unit_price,discount_pct,status,order_date,region,customer_age,is_new_customer
ORD-000001,CUST-1120,PROD-0083,Deportes,web,7,4788.12,10.0,completed,2023-04-25,MTY,69,True
ORD-000002,CUST-1072,PROD-0168,Alimentos,marketplace,4,4456.18,15.0,cancelled,2023-01-26,MTY,19,False
ORD-000003,CUST-0530,PROD-0197,Belleza,social,8,3278.76,0.0,returned,2023-10-09,PUE,22,False
ORD-000004,CUST-1124,PROD-0144,Electronica,social,5,2325.24,25.0,returned,2023-09-08,MTY,26,False
ORD-000005,CUST-0990,PROD-0113,Libros,web,7,3395.02,0.0,cancelled,2023-08-17,PUE,37,False
ORD-000006,CUST-1276,PROD-0132,Electronica,marketplace,3,3112.12,10.0,completed,2023-05-23,GDL,63,False
ORD-000007,CUST-1495,PROD-0244,Alimentos,marketplace,7,2864.33,5.0,completed,2023-04-15,QRO,35,False
ORD-000008,CUST-0290,PROD-0064,Hogar,marketplace,8,342.93,5.0,cancelled,2023-03-31,QRO,39,False
ORD-000009,CUST-1424,PROD-0070,Deportes,social,5,3182.37,5.0,returned,2024-03-08,CUN,25,False
ORD-000010,CUST-1432,PROD-0274,Ropa,social,4,3856.15,0.0,completed,2023-02-02,QRO,51,False
ORD-000011,CUST-1369,PROD-0252,Ropa,marketplace,8,4970.7,10.0,pending,2023-01-31,PUE,26,False
ORD-000012,CUST-0038,PROD-0047,Ropa,social,8,104.84,10.0,pending,2023-04-06,CDMX,24,False
ORD-000013,CUST-0772,PROD-0171,Hogar,marketplace,3,3664.36,0.0,pending,2023-08-12,CDMX,47,True
ORD-000014,CUST-1194,PROD-0115,Alimentos,social,6,2880.36,,completed,2023-08-27,MTY,35,False
ORD-000015,CUST-1359,PROD-0295,Ropa,social,5,2198.56,0.0,completed,2024-06-01,CUN,44,False
ORD-000016,CUST-1079,PROD-0034,Hogar,marketplace,2,681.47,10.0,cancelled,2023-01-28,CUN,33,False
ORD-000017,CUST-0090,PROD-0176,Juguetes,marketplace,8,2074.97,0.0,completed,2023-07-23,CUN,38,False
ORD-000018,CUST-0524,PROD-0194,Hogar,mobile,6,1804.17,0.0,cancelled,2024-03-05,MTY,22,False
ORD-000019,CUST-0349,PROD-0196,Belleza,marketplace,2,1549.01,0.0,cancelled,2023-08-14,MTY,46,False
ORD-000020,CUST-0124,PROD-0288,Libros,mobile,5,3667.85,5.0,returned,2024-04-04,PUE,64,False
ORD-000021,CUST-0582,PROD-0224,Belleza,social,1,3518.59,10.0,completed,2023-10-12,CDMX,54,False
ORD-000022,CUST-0412,PROD-0120,Belleza,marketplace,6,2965.65,0.0,completed,2023-01-07,GDL,60,False
ORD-000023,CUST-1427,PROD-0115,Belleza,social,9,4696.39,0.0,pending,2023-06-13,QRO,39,False
ORD-000024,CUST-1266,PROD-0133,Belleza,marketplace,1,1781.78,0.0,pending,2024-03-08,CUN,31,False
ORD-000025,CUST-0556,PROD-0060,Ropa,social,3,1256.82,10.0,returned,2023-12-15,GDL,36,False
ORD-000026,CUST-0109,PROD-0149,Ropa,social,7,3296.72,10.0,returned,2023-10-12,MTY,52,False
ORD-000027,CUST-0953,PROD-0045,Libros,social,4,1034.13,0.0,returned,2023-06-09,CUN,41,False
ORD-000028,CUST-1341,PROD-0058,Deportes,web,9,1609.3,0.0,returned,2023-08-09,GDL,59,True
ORD-000029,CUST-0018,PROD-0046,Ropa,social,3,1161.78,15.0,returned,2023-12-11,PUE,23,False
ORD-000030,CUST-0137,PROD-0175,Alimentos,mobile,5,392.31,0.0,returned,2023-04-15,CUN,20,False
ORD-000031,CUST-0796,PROD-0097,Deportes,marketplace,3,4146.12,0.0,cancelled,2023-04-05,CDMX,51,False
ORD-000032,CUST-1353,PROD-0060,Hogar,mobile,7,1309.98,0.0,completed,2024-01-25,CUN,62,True
ORD-000033,CUST-0556,PROD-0294,Electronica,web,5,2391.49,5.0,completed,2023-04-10,,67,False
ORD-000034,CUST-1358,PROD-0189,Alimentos,mobile,9,264.41,5.0,cancelled,2024-01-03,PUE,19,True
ORD-000035,CUST-1352,PROD-0066,Alimentos,marketplace,7,3511.73,10.0,returned,2023-12-19,PUE,32,False
ORD-000036,CUST-0738,PROD-0161,Ropa,marketplace,2,1686.28,0.0,returned,2023-09-28,CUN,54,False
ORD-000037,CUST-0221,PROD-0195,Ropa,marketplace,4,3736.45,10.0,returned,2023-02-14,QRO,32,False
ORD-000038,CUST-0040,PROD-0296,Deportes,web,9,2091.4,0.0,returned,2024-04-15,GDL,49,False
ORD-000039,CUST-0600,PROD-0001,Electronica,web,2,1018.99,15.0,completed,2023-05-08,MTY,38,False
ORD-000040,CUST-1330,PROD-0160,Libros,marketplace,9,2590.22,5.0,cancelled,2024-01-23,MTY,34,True
ORD-000041,CUST-0792,PROD-0032,Hogar,marketplace,5,696.0,5.0,pending,2023-03-22,GDL,51,False
ORD-000042,CUST-0474,PROD-0275,Ropa,web,2,2230.67,0.0,returned,2023-10-28,QRO,49,False
ORD-000043,CUST-0780,PROD-0098,Ropa,marketplace,4,1620.66,0.0,completed,2024-01-06,CUN,67,False
ORD-000044,CUST-1042,PROD-0199,Deportes,mobile,7,4564.2,5.0,completed,2023-07-16,CDMX,64,False
ORD-000045,CUST-1454,PROD-0217,Libros,social,8,351.6,10.0,completed,2023-03-13,MTY,69,False
ORD-000046,CUST-0204,PROD-0164,Juguetes,mobile,3,3485.39,0.0,completed,2023-02-16,CDMX,40,False
ORD-000047,CUST-0647,PROD-0187,Alimentos,marketplace,1,954.62,25.0,completed,2023-08-22,QRO,52,False
ORD-000048,CUST-0993,PROD-0065,Hogar,marketplace,4,1629.27,25.0,returned,2023-10-24,GDL,54,False
ORD-000049,CUST-1223,PROD-0267,Alimentos,social,2,2106.79,5.0,cancelled,2023-03-23,PUE,60,False
ORD-000050,CUST-1089,PROD-0114,Electronica,social,8,4544.67,25.0,cancelled,2023-08-27,CDMX,58,True
ORD-000051,CUST-0181,PROD-0055,Deportes,marketplace,4,1250.76,,returned,2023-04-14,CDMX,54,False
ORD-000052,CUST-0382,PROD-0203,Deportes,social,2,501.98,0.0,returned,2024-01-25,CDMX,50,False
ORD-000053,CUST-0408,PROD-0005,Juguetes,mobile,6,1627.51,0.0,completed,2023-10-12,CUN,42,True
ORD-000054,CUST-1026,PROD-0276,Electronica,web,6,568.15,5.0,returned,2024-04-09,CDMX,63,True
ORD-000055,CUST-0938,PROD-0236,Electronica,mobile,4,686.55,0.0,returned,2024-01-09,CDMX,54,True
ORD-000056,CUST-1149,PROD-0162,Hogar,web,6,2890.56,25.0,returned,2023-06-16,CUN,57,False
ORD-000057,CUST-1460,PROD-0075,Juguetes,social,2,351.46,0.0,cancelled,2024-01-15,CUN,38,False
ORD-000058,CUST-0045,PROD-0152,Belleza,marketplace,2,203.11,0.0,returned,2023-12-30,CDMX,63,False
ORD-000059,CUST-0082,PROD-0113,Hogar,mobile,4,3586.35,15.0,pending,2023-08-03,CDMX,65,True
ORD-000060,CUST-0507,PROD-0256,Juguetes,mobile,8,1840.15,0.0,completed,2023-10-01,MTY,55,False
ORD-000061,CUST-1085,PROD-0234,Alimentos,marketplace,7,670.61,0.0,returned,2023-03-15,PUE,57,False
ORD-000062,CUST-0625,PROD-0076,Deportes,web,9,1305.38,10.0,returned,2023-06-25,CDMX,51,True
ORD-000063,CUST-0684,PROD-0146,Electronica,marketplace,8,3228.33,0.0,returned,2024-06-30,PUE,36,False
ORD-000064,CUST-1004,PROD-0075,Libros,mobile,5,1413.91,0.0,cancelled,2023-09-08,CDMX,44,False
ORD-000065,CUST-0806,PROD-0018,Libros,social,2,2497.88,0.0,cancelled,2023-06-17,QRO,26,False
ORD-000066,CUST-0322,PROD-0164,Hogar,web,5,652.39,5.0,pending,2024-04-18,PUE,22,False
ORD-000067,CUST-0038,PROD-0159,Belleza,marketplace,8,2961.06,25.0,cancelled,2024-01-24,,22,True
ORD-000068,CUST-0711,PROD-0258,Ropa,web,9,1614.58,15.0,cancelled,2023-10-04,QRO,42,False
ORD-000069,CUST-1402,PROD-0064,Deportes,marketplace,9,3153.49,0.0,returned,2023-08-13,MTY,43,True
ORD-000070,CUST-0721,PROD-0141,Hogar,mobile,1,4051.55,0.0,returned,2023-11-29,MTY,36,True
ORD-000071,CUST-0728,PROD-0294,Deportes,mobile,9,3077.65,5.0,cancelled,2023-02-27,CUN,47,False
ORD-000072,CUST-1281,PROD-0245,Juguetes,mobile,7,1513.95,25.0,returned,2023-08-23,QRO,53,False
ORD-000073,CUST-0620,PROD-0111,Alimentos,social,9,1315.93,0.0,pending,2023-02-02,CUN,65,True
ORD-000074,CUST-0484,PROD-0254,Electronica,web,8,1670.73,0.0,cancelled,2023-11-20,QRO,65,True
ORD-000075,CUST-1027,PROD-0150,Alimentos,marketplace,1,864.87,10.0,cancelled,2024-02-15,CDMX,33,False
ORD-000076,CUST-0565,PROD-0193,Ropa,marketplace,8,946.8,25.0,pending,2023-10-02,GDL,24,False
ORD-000077,CUST-0127,PROD-0031,Deportes,marketplace,8,3963.92,0.0,pending,2023-03-09,CDMX,35,False
ORD-000078,CUST-1282,PROD-0171,Belleza,mobile,3,1954.43,0.0,completed,2023-08-05,GDL,38,False
ORD-000079,CUST-0528,PROD-0079,Hogar,web,1,2208.18,0.0,returned,2023-11-19,CDMX,48,True
